,calories,parsed_ingredients
909,664.0,"[575, 529, 405, 364, 354, 305, 296, 288, 228, 133, 61, 47, 16, 0, 0]"
910,608.0,"[562, 493, 405, 364, 288, 281, 250, 228, 97, 54, 0, 0, 0]"
911,587.0,"[720, 575, 548, 500, 488, 222, 216, 200, 186, 97, 50, 46]"
912,856.0,"[720, 405, 395, 364, 288, 281, 242, 222, 216, 97, 30, 0, 0]"
913,471.0,"[720, 456, 405, 364, 288, 228, 97, 62, 16, 0]"
914,789.0,"[882, 405, 395, 364, 335, 331, 290, 263, 247, 242, 190, 97, 80, 53, 1, 0]"
915,389.0,"[405, 387, 347, 322, 242, 228, 61, 0]"
916,306.0,"[405, 389, 47, 0, 0]"
917,583.0,"[720, 628, 541, 450, 405, 364, 335, 242, 228, 27, 0, 0]"
918,531.0,"[889, 628, 405, 333, 322, 305, 242, 0, 0]"
919,414.0,"[405, 381, 256, 49, 0]"
920,667.0,"[882, 691, 548, 405, 364, 335, 304, 288, 261, 257, 242, 228, 180, 97, 62, 0, 0, 0]"
921,191.0,"[544, 500, 405, 395, 322, 288, 242, 228, 133, 97, 16, 0]"
922,1397.0,"[493, 405, 322, 288, 253, 242, 97, 61, 47, 0]"
923,62.0,"[562, 395, 364, 288, 228, 97, 53, 0]"
924,663.0,"[562, 493, 405, 395, 242, 97, 13, 0]"
925,531.0,"[395, 370, 350, 66, 63, 52]"
926,464.0,"[562, 447, 388, 322, 242, 42, 0]"
927,437.0,"[575, 405, 388, 370, 322, 304, 270, 242, 228, 37, 0, 0]"
928,309.0,"[882, 720, 553, 375, 304, 274, 265, 177, 174, 131, 111, 100, 93, 88, 83, 66, 60, 45, 43, 43, 37, 32, 21, 19, 15, 0]"
929,305.0,"[882, 347, 265, 199, 61, 40, 30, 20, 16]"
930,1216.0,"[902, 405, 370, 365, 357, 299, 280, 274, 250, 83, 18, 0]"
931,313.0,"[882, 720, 339, 282, 274, 111, 93, 40, 36]"
932,3203.0,"[884, 882, 493, 365, 362, 357, 169, 67, 16, 16, 0]"
933,204.0,"[562, 455, 36, 0]"
934,268.0,"[720, 407, 251, 87, 40]"
935,194.0,"[405, 194, 167, 149, 111, 100, 85, 80, 67, 27, 23, 0, 0]"
936,345.0,"[654, 562, 525, 405, 368, 364, 335, 299, 250, 238, 216, 97, 56, 50, 16, 0]"
937,6929.0,"[405, 364, 52, 46, 44, 21, 16, 0, 0]"
938,451.0,"[882, 499, 395, 337, 282, 241, 233, 212, 147, 109, 93, 67, 43, 40, 19, 0]"
939,392.0,"[882, 431, 315, 274, 100, 92, 40, 32]"
940,643.0,"[720, 562, 525, 405, 395, 381, 335, 263, 247, 237, 222, 124, 21, 16, 0]"
941,237.0,"[720, 395, 237, 18]"
942,543.0,"[355, 299, 276, 274, 237, 97, 72, 36, 27, 21, 0]"
943,1296.0,"[902, 882, 720, 625, 411, 405, 345, 295, 251, 237, 180, 152, 133, 113, 83, 80, 62, 46, 40, 27, 0]"
944,886.0,"[882, 486, 395, 237, 213, 82, 17, 14, 0]"
945,689.0,"[882, 500, 494, 486, 395, 237, 93, 52, 27, 0]"
946,1356.0,"[562, 364, 242, 237, 233, 174, 100, 93, 40, 0, 0]"
947,726.0,"[882, 388, 250, 60, 53, 32]"
948,143.0,"[882, 405, 212, 111, 21, 0]"
949,101.0,"[351, 149, 53, 23, 21]"
950,53.0,"[405, 347, 261, 40, 23, 21, 0, 0]"
951,870.0,"[882, 411, 237, 212, 23, 21, 20, 16]"
952,44.0,"[335, 323, 251, 70, 40, 23, 21, 0]"
953,906.0,"[882, 405, 370, 335, 274, 265, 263, 247, 241, 228, 147, 82, 78, 40, 40, 36, 27, 21, 16]"
954,177.0,"[720, 395, 364, 247, 97, 61, 57, 16, 0]"
955,120.0,"[884, 882, 351, 282, 247, 25, 16, 0]"
956,280.0,"[720, 405, 395, 364, 288, 247, 97, 61, 0]"
957,230.0,"[720, 405, 247, 63]"
958,66.0,"[654, 529, 395, 364, 247, 180, 0]"
959,250.0,"[405, 364, 305, 261, 247, 16, 0]"
960,414.0,"[882, 464, 274, 265, 259, 233, 100, 93, 91, 83, 72, 40, 36, 32, 21, 18]"
961,516.0,"[882, 720, 388, 236, 232, 97, 83, 72, 61, 47, 29, 0]"
962,170.0,"[902, 299, 274, 46]"
963,462.0,"[562, 458, 405, 387, 364, 288, 48, 46, 21, 16, 0]"
964,293.0,"[882, 573, 405, 345, 304, 263, 247, 182, 97, 80, 72, 32, 19, 0]"
965,191.0,"[405, 71, 70, 40, 30, 29]"
966,554.0,"[405, 364, 242, 97, 62, 61, 46, 21, 0]"
967,1419.0,"[882, 375, 157, 117, 81, 46, 41, 40, 37, 32, 30, 23, 16]"
968,180.0,"[494, 486, 458, 405, 352, 93, 0]"
969,276.0,"[405, 387, 263, 242, 182, 99, 57, 47, 29, 13, 0]"
970,683.0,"[882, 494, 395, 345, 282, 274, 204, 54, 47, 40, 37, 29, 27, 23, 0, 0]"
971,416.0,"[494, 458, 405, 395, 345, 100, 48, 23]"
972,244.0,"[405, 250, 242, 97, 61, 0]"
973,1415.0,"[720, 458, 364, 341, 251, 93, 47, 16, 0]"
974,1364.0,"[720, 458, 364, 341, 251, 93, 47, 0]"
975,1232.0,"[882, 176, 93, 47, 29, 0]"
976,560.0,"[882, 720, 250, 242, 148, 90, 83, 82, 74, 32, 17, 16]"
977,318.0,"[720, 405, 381, 381, 364, 331, 305, 242, 61, 57, 0]"
978,52.0,"[405, 356, 351, 282, 149, 100, 80, 67, 25, 21, 0]"
979,286.0,"[533, 338, 61]"
980,860.0,"[405, 364, 354, 342, 322, 288, 62, 0]"
981,177.0,"[270, 231, 21]"
982,357.0,"[884, 882, 720, 318, 282, 266, 242, 97, 40, 35]"
983,797.0,"[720, 458, 405, 389, 381, 364, 342, 288, 242, 231, 174, 97, 21, 0]"
984,755.0,"[882, 673, 274, 148]"
985,567.0,"[882, 403, 347, 304, 282, 274, 265, 237, 212, 128, 109, 100, 40, 32, 23, 17, 16]"
986,672.0,"[882, 431, 360, 241, 182, 83, 81, 61, 41, 40, 32, 16, 16]"
987,1085.0,"[450, 364, 104, 104, 0]"
988,24.0,"[882, 274, 157, 46, 32, 30, 19]"
989,548.0,"[405, 388, 381, 364, 288, 201, 61, 0, 0]"
990,269.0,"[720, 431, 282, 280, 242, 72, 66, 47, 27, 23, 21, 0]"
991,194.0,"[692, 405, 30, 27, 0]"
992,1613.0,"[902, 882, 720, 553, 494, 411, 357, 337, 251, 247, 247, 219, 212, 149, 116, 91, 89, 51, 37, 30, 18, 0]"
993,1361.0,"[882, 318, 171, 149, 85, 80, 67, 65, 40, 27, 21, 0]"
994,409.0,"[494, 274, 40, 23, 16, 0, 0]"
995,149.0,"[902, 405, 93, 47, 18, 17, 0]"
996,3275.0,"[364, 148, 61, 40, 27, 16, 1]"
997,57.0,[25]
998,1010.0,"[902, 882, 322, 312, 97, 72, 66, 35, 27, 18, 0]"
999,141.0,"[405, 388, 364, 288, 97, 0]"
1000,447.0,"[884, 548, 405, 381, 364, 288, 281, 258, 257, 228, 98, 97, 50, 16, 0, 0]"
1001,916.0,"[882, 720, 312, 305, 274, 230, 128, 93, 82, 80, 40, 23, 16, 0]"
1002,657.0,"[857, 562, 527, 405, 354, 342, 335, 288, 97, 97, 60, 50, 31, 0, 0]"
1003,716.0,"[720, 691, 456, 405, 381, 322, 288, 242, 150, 61, 48, 0]"
1004,272.0,"[720, 548, 405, 381, 354, 322, 242, 122, 97, 61, 53, 28, 21, 0]"
1005,239.0,"[395, 230]"
1006,337.0,"[447, 405, 354, 231, 97, 61, 0]"
1007,320.0,"[902, 274, 172, 99, 83, 80, 72, 61, 21]"
1008,88.0,"[405, 388, 381, 364, 354, 322, 258, 40, 21, 13, 0]"
1009,299.0,"[562, 405, 354, 288, 124, 105, 97, 19, 16, 0]"
1010,471.0,"[882, 354, 353, 335, 274, 230, 212, 80, 40, 23, 17, 0, 0]"
1011,369.0,"[405, 356, 258, 230, 0, 0]"
1012,310.0,"[405, 354, 334, 261, 230, 162, 61, 0]"
1013,428.0,"[405, 354, 288, 250, 230, 195, 97, 0, 0]"
1014,798.0,"[562, 405, 364, 354, 322, 288, 242, 216, 124, 66, 44, 16, 0]"
1015,103.0,"[882, 464, 364, 357, 354, 112, 23, 21, 16, 0]"
1016,493.0,"[288, 250, 230, 61, 60, 60, 0]"
1017,27.0,"[30, 21, 0, 0]"
1018,301.0,"[617, 562, 562, 405, 403, 354, 21, 0, 0]"
1019,166.0,"[884, 378, 274, 230, 83, 80, 72, 47, 37, 19, 16, 0]"
1020,541.0,"[405, 364, 354, 342, 340, 288, 230, 97, 61, 40, 30, 16, 0]"
1021,613.0,"[857, 493, 405, 364, 354, 261, 258, 257, 231, 216, 13, 0]"
1022,814.0,"[902, 882, 364, 354, 274, 131, 97, 36, 30, 19, 17]"
1023,190.0,"[628, 405, 364, 354, 236, 97, 21, 0]"
1024,641.0,"[882, 553, 387, 384, 231, 230, 149, 83, 65, 41, 32, 21, 16, 0, 0]"
1025,503.0,"[405, 362, 354, 322, 250, 237, 230, 216, 97, 70, 60, 32]"
1026,826.0,"[720, 502, 405, 395, 354, 352, 288, 261, 247, 242, 98, 97, 97, 87, 46, 21, 0, 0]"
1027,133.0,"[456, 405, 91, 81, 80, 41, 30, 25, 0, 0]"
1028,316.0,"[575, 288, 61, 0]"
1029,327.0,"[357, 310, 276, 242, 36, 21, 0]"
1030,446.0,"[884, 882, 720, 357, 274, 109, 82, 36, 32, 21]"
1031,458.0,"[882, 411, 296, 189, 32, 29, 23, 0]"
1032,399.0,"[882, 494, 282, 180, 82, 61, 40, 37, 30, 21]"
1033,652.0,"[720, 691, 691, 529, 411, 405, 395, 364, 288, 250, 247, 242, 16, 1, 0, 0]"
1034,346.0,"[562, 525, 395, 364, 341, 305, 263, 247, 97, 71, 56, 0, 0]"
1035,449.0,"[720, 544, 405, 388, 242, 31, 13]"
1036,1564.0,"[882, 405, 331, 274, 265, 265, 212, 82, 40, 23, 20, 17, 16, 13]"
1037,384.0,"[720, 411, 405, 403, 322, 288, 281, 247, 116, 44, 40, 0, 0]"
1038,477.0,"[407, 395, 387, 274, 270, 131, 112, 78, 72, 67, 60, 40, 21, 16, 13, 1, 0]"
1039,543.0,"[395, 335, 265, 254, 241, 212, 150, 100, 40, 27, 14, 0]"
1040,109.0,"[405, 395, 364, 335, 288, 247, 80, 31, 0, 0]"
1041,246.0,"[720, 562, 405, 247, 246, 97, 70, 57, 53]"
1042,237.0,"[320, 97, 71, 46, 30]"
1043,270.0,"[882, 720, 573, 387, 345, 274, 40, 23, 21, 0, 0]"
1044,128.0,"[405, 123, 21, 1]"
1045,205.0,"[882, 720, 100, 72, 62, 35, 16, 0]"
1046,304.0,"[261, 216, 111, 98, 81, 80, 76, 67, 21, 16, 0]"
1047,33.0,[61]
1048,304.0,"[884, 882, 553, 486, 331, 67, 27, 23, 21]"
1049,175.0,"[692, 149, 111, 105, 87, 53, 52, 41, 32, 25, 21, 18]"
1050,523.0,"[525, 395, 364, 335, 322, 281, 263, 247, 242, 233, 173, 97, 62, 16, 0, 0]"
1051,313.0,"[882, 553, 500, 494, 387, 265, 46, 32, 32, 21]"
1052,649.0,"[882, 567, 458, 431, 274, 251, 21, 0]"
1053,242.0,"[882, 362, 280, 0]"
1054,150.0,"[486, 305, 97, 40, 23, 18, 18]"
1055,1228.0,"[265, 219, 200, 160, 100, 87, 82, 40, 23, 23, 16, 0]"
1056,231.0,"[380, 350, 191, 133, 14]"
1057,242.0,"[882, 541, 251, 222, 46, 40, 35, 23, 21, 21, 20, 18, 16, 0]"
1058,221.0,"[494, 304, 71, 37]"
1059,88.0,"[340, 270, 247, 235, 89, 76, 48]"
1060,271.0,"[882, 500, 407, 351, 212, 111, 100, 93, 0]"
1061,976.0,"[884, 335, 304, 274, 123, 82, 67, 30, 27, 19, 0]"
1062,667.0,"[902, 882, 274, 265, 212, 154, 128, 40, 23, 16]"
1063,573.0,"[522, 362, 357, 323, 259, 242, 132, 40, 30, 27, 0]"
1064,192.0,"[720, 405, 394, 373, 364, 357, 232, 148, 97, 61, 16, 0]"
1065,187.0,"[405, 364, 362, 242, 233, 133, 97, 61]"
1066,587.0,"[413, 407, 364, 356, 278, 276, 97, 78, 40, 35, 27, 0]"
1067,386.0,"[720, 242, 82, 72, 40, 20, 17]"
1068,338.0,"[882, 654, 387, 347, 251, 111, 93, 36, 21, 19, 0]"
1069,372.0,"[882, 458, 365, 321, 280, 275, 251, 27, 27, 0]"
1070,433.0,"[720, 691, 305, 242, 233, 61, 44, 35, 27, 0]"
1071,242.0,"[882, 387, 264, 251, 233, 100, 44, 36, 19, 0]"
1072,150.0,"[882, 362, 212, 149, 111, 27, 23, 0]"
1073,226.0,"[405, 387, 318, 236, 30, 21, 0]"
1074,534.0,"[882, 494, 458, 351, 312, 307, 295, 251, 93, 89, 83, 72, 57, 40, 19, 0]"
1075,249.0,"[882, 431, 364, 357, 342, 203, 111, 97, 13, 0, 0]"
1076,383.0,"[405, 387, 364, 362, 332, 251, 242, 97, 61, 18, 16, 0, 0]"
1077,755.0,"[882, 529, 423, 362, 322, 315, 276, 274, 255, 212, 157, 97, 40, 36, 17, 16, 0, 0]"
1078,276.0,"[720, 405, 364, 362, 124, 97, 62, 29, 16, 0]"
1079,211.0,"[720, 395, 364, 362, 357, 281, 115, 97, 61, 16, 0]"
1080,442.0,"[720, 405, 364, 362, 276, 251, 237, 97, 62, 40, 16, 0]"
1081,509.0,"[720, 508, 494, 213, 180, 137, 97, 97, 36, 32, 23, 23, 18]"
1082,636.0,"[251, 238, 233, 182, 179, 60, 40]"
1083,1064.0,"[882, 692, 628, 375, 352, 30, 27, 21, 0]"
1084,741.0,"[130, 37, 27, 0, 0]"
1085,97.0,"[882, 692, 475, 405, 364, 274, 150, 113, 104, 80, 67, 41, 35, 27, 21, 16, 0]"
1086,289.0,"[720, 405, 364, 362, 342, 180, 97, 62, 40, 16, 0]"
1087,1209.0,"[882, 494, 455, 405, 388, 364, 362, 259, 160, 111, 98, 62, 61, 32, 16, 16, 0, 0]"
1088,75.0,"[405, 364, 362, 322, 278, 247, 182, 162, 0]"
1089,1441.0,"[654, 387, 347, 315, 274, 264, 251, 174, 133, 133, 97, 40, 36, 34, 29, 0]"
1090,167.0,"[231, 153, 48, 46, 21]"
1091,213.0,"[405, 253, 250, 231, 46]"
1092,320.0,"[720, 364, 98, 97, 40, 27, 0]"
1093,425.0,"[882, 720, 628, 364, 276, 274, 135, 91, 51, 50, 40, 36, 20, 16]"
1094,46.0,"[562, 405, 364, 304, 286, 116, 61, 60, 53, 13, 0]"
1095,231.0,"[405, 145, 19, 1]"
1096,479.0,"[720, 364, 137, 97, 82, 67, 60, 40, 38, 20]"
1097,397.0,"[720, 356, 276, 274, 263, 259, 242, 235, 115, 97, 60, 40, 27, 0, 0]"
1098,3.0,"[311, 274, 247, 235, 213, 80, 27, 23, 23, 18, 0]"
1099,438.0,"[882, 720, 673, 376, 310, 251, 247, 111, 36, 21, 16, 16, 0]"
1100,303.0,"[393, 381, 364, 357, 300, 222, 202, 194, 128, 97, 40, 23]"
1101,303.0,"[720, 692, 251, 202, 196, 78, 50]"
1102,151.0,"[884, 882, 720, 692, 322, 295, 251, 236, 103, 60, 43, 40, 23, 21]"
1103,1160.0,"[857, 567, 405, 381, 364, 251, 231, 155, 67, 16, 0]"
1104,538.0,"[882, 251, 233, 202, 32]"
1105,450.0,"[322, 245, 202, 154, 40, 16]"
1106,206.0,"[882, 371, 345, 333, 109, 30, 27, 21, 0]"
1107,397.0,"[353, 352, 295, 109, 83, 72, 36, 30, 21, 19, 0]"
1108,466.0,"[882, 857, 411, 304, 97, 60, 57, 21]"
1109,1231.0,"[857, 322, 274, 269, 123, 111, 109, 80, 65, 24, 23, 0]"
1110,320.0,"[902, 274, 156, 152, 109, 72, 67, 23, 18, 0]"
1111,350.0,"[884, 691, 380, 364, 62, 27, 16, 0, 0, 0]"
1112,465.0,"[575, 562, 458, 405, 395, 364, 288, 258, 179, 97, 46, 46, 0]"
1113,261.0,"[882, 405, 251, 247, 80, 74, 72, 60, 48, 46, 19, 0]"
1114,152.0,"[405, 290, 80, 72, 46, 0]"
1115,36.0,"[692, 691, 500, 304, 61, 52, 46, 34, 25, 21, 16]"
1116,285.0,"[464, 405, 263, 242, 97, 46, 46]"
1117,186.0,"[405, 71, 46, 0]"
1118,181.0,"[691, 562, 525, 395, 364, 261, 180, 162, 97, 61, 46, 0, 0]"
1119,183.0,"[882, 405, 180, 53, 46, 40, 37]"
1120,177.0,"[405, 57, 46, 0]"
1121,227.0,"[405, 70, 46, 42]"
1122,442.0,"[691, 450, 405, 83, 46, 37, 0]"
1123,77.0,"[902, 508, 405, 247, 80, 72, 46, 32, 28]"
1124,210.0,"[433, 405, 263, 46, 0]"
1125,325.0,"[405, 290, 233, 83, 70, 46, 23]"
1126,445.0,"[884, 458, 405, 395, 364, 288, 247, 242, 237, 97, 94, 48, 46, 21, 16, 0, 0]"
1127,209.0,"[395, 299, 80, 53, 46]"
1128,471.0,"[720, 654, 405, 395, 364, 162, 97, 62, 46, 16, 0, 0]"
1129,255.0,"[405, 50, 46]"
1130,222.0,"[575, 405, 93, 46, 16, 0]"
1131,234.0,"[464, 335, 247, 50, 48, 46, 30]"
1132,351.0,"[654, 335, 247, 152, 76, 46, 0]"
1133,253.0,"[405, 80, 75, 74, 46, 32, 28]"
1134,233.0,"[433, 395, 263, 236, 105, 97, 46, 42, 40, 37, 27, 21, 16]"
1135,171.0,"[405, 274, 57, 46, 46, 32, 23, 18]"
1136,313.0,"[405, 179, 80, 46, 43]"
1137,530.0,"[691, 395, 388, 364, 247, 156, 46, 35, 21, 0]"
1138,244.0,"[405, 237, 233, 50, 46, 27]"
1139,308.0,"[562, 405, 364, 340, 270, 97, 62, 52, 46, 16, 0]"
1140,238.0,"[882, 508, 405, 375, 345, 300, 46, 40, 19, 0, 0]"
1141,234.0,"[405, 80, 70, 62, 46, 40]"
1142,404.0,"[405, 364, 97, 62, 46, 16, 0, 0]"
1143,513.0,"[575, 395, 388, 364, 335, 288, 261, 251, 247, 200, 48, 46, 0]"
1144,251.0,"[654, 405, 400, 364, 288, 97, 62, 46, 26, 16, 0, 0]"
1145,752.0,"[575, 405, 388, 364, 342, 322, 261, 179, 66]"
1146,1437.0,"[720, 405, 389, 364, 201, 97, 0, 0]"
1147,954.0,"[882, 553, 395, 100, 91, 42, 40, 32, 18, 16]"
1148,320.0,"[720, 494, 464, 393, 276, 181, 93, 40, 30, 22]"
1149,195.0,"[720, 364, 350, 332, 290, 261, 157, 97, 82, 61, 60, 40, 38, 35, 32, 16, 0]"
1150,196.0,"[525, 431, 274, 242, 62, 21]"
1151,361.0,"[882, 720, 411, 408, 373, 364, 357, 351, 242, 227, 115, 61, 40]"
1152,646.0,"[720, 431, 242, 100, 47, 40, 36, 27, 0]"
1153,209.0,"[720, 525, 405, 393, 364, 274, 242, 81, 61, 61, 61, 27, 0]"
1154,103.0,"[253, 45]"
1155,181.0,"[898, 358, 345, 147, 40, 0]"
1156,304.0,"[486, 167, 155, 149, 80, 61, 40, 40, 0]"
1157,403.0,"[673, 405, 374, 337, 322, 288, 258, 231, 222, 215, 112, 97, 61, 0, 0]"
1158,204.0,"[692, 300, 274, 242, 236, 44, 40, 25, 23, 21]"
1159,145.0,"[720, 625, 387, 381, 40, 30, 0, 0]"
1160,335.0,"[882, 720, 345, 242, 40, 31, 23, 21, 0]"
1161,497.0,"[720, 500, 408, 115, 61, 0]"
1162,415.0,"[884, 274, 21, 0]"
1163,613.0,"[882, 720, 353, 276, 242, 0]"
1164,146.0,"[61, 0]"
1165,406.0,"[882, 334, 75, 41, 33, 28, 0]"
1166,155.0,"[335, 242, 61, 0, 0]"
1167,483.0,"[882, 276, 274, 242, 131, 41, 40, 16, 16, 0]"
1168,119.0,"[882, 378, 48, 25, 21]"
1169,410.0,"[692, 209, 131, 112, 111, 103, 0, 0]"
1170,1119.0,"[882, 381, 103, 44, 25, 0]"
1171,291.0,"[882, 508, 429, 375, 354, 325, 100, 61, 21, 0, 0]"
1172,247.0,"[882, 405, 381, 362, 247, 97, 30, 16, 0]"
1173,222.0,"[882, 525, 93, 82, 78, 27, 0]"
1174,2448.0,"[884, 692, 381, 364, 351, 304, 282, 97, 70, 62, 41, 27, 25, 21, 16, 0]"
1175,582.0,"[882, 692, 381, 357, 331, 282, 222, 112, 83, 0]"
1176,1045.0,"[882, 347, 274, 236, 163, 72, 36, 27, 17, 0]"
1177,480.0,"[562, 364, 362, 281, 270, 115, 97, 62, 16, 0]"
1178,239.0,"[882, 691, 16, 0]"
1179,202.0,"[882, 72, 0]"
1180,791.0,"[882, 562, 266, 251, 196, 185, 148, 124, 91, 30, 21]"
1181,646.0,"[857, 589, 567, 529, 375, 370, 338, 331, 304, 288]"
1182,976.0,"[882, 364, 315, 276, 236, 227, 217, 180, 148, 97, 29, 27, 25, 23]"
1183,375.0,"[882, 276, 274, 97, 97, 40, 27, 0, 0]"
1184,1086.0,"[882, 356, 331, 315, 274, 251, 223, 72, 36, 27, 0]"
1185,879.0,"[884, 364, 364, 362, 295, 276, 100, 61, 23, 21]"
1186,934.0,"[884, 486, 381, 364, 203, 123, 62, 27, 16, 0]"
1187,74.0,"[884, 884, 379, 274, 203, 194, 179, 155, 80, 67, 41, 40, 22]"
1188,1303.0,"[882, 720, 274, 250, 103, 97, 87, 61, 40, 27, 18, 0]"
1189,636.0,"[882, 720, 403, 298, 251, 145, 100, 97, 60, 46, 0]"
1190,1104.0,"[882, 508, 407, 395, 304, 274, 52, 49, 27, 21]"
1191,1281.0,"[720, 562, 357, 315, 271, 263, 100, 83, 40, 27, 18, 16, 0, 0]"
1192,409.0,"[882, 691, 609, 210, 89, 32, 31, 21, 0, 0]"
1193,937.0,"[882, 486, 458, 353, 350, 336, 274, 111, 82, 80, 72, 22, 21, 0]"
1194,608.0,"[882, 378, 236, 128, 81, 42, 25, 21]"
1195,264.0,"[322, 251, 242, 157, 97, 61, 0]"
1196,521.0,"[720, 355, 242, 145, 97, 81, 66, 61, 32]"
1197,269.0,"[902, 411, 405, 274, 212, 53, 27, 21, 0]"
1198,830.0,"[411, 375, 265, 232, 212, 50, 27, 0]"
1199,1335.0,"[882, 335, 310, 282, 278, 276, 274, 236, 212, 186, 128, 40, 27, 23, 21, 18, 16, 13, 0]"
1200,304.0,"[882, 405, 274, 265, 147, 40, 20, 18, 0]"
1201,39.0,"[304, 43, 40, 21]"
1202,230.0,"[405, 352, 263, 30, 21, 16]"
1203,40.0,"[882, 405, 60, 18, 16]"
1204,136.0,"[902, 575, 231, 180, 72, 43, 32, 19, 10]"
1205,85.0,"[486, 405, 337, 299, 40, 21, 10, 0]"
1206,93.0,"[274, 91, 63, 43, 18]"
1207,193.0,"[405, 315, 80, 57, 16, 0]"
1208,56.0,"[882, 405, 60, 43, 18, 16, 0]"
1209,208.0,"[882, 264, 111, 70, 32, 21, 18]"
1210,100.0,"[882, 405, 274, 123, 70, 67, 23, 21, 18, 10, 0]"
1211,215.0,"[692, 341, 251, 233, 97, 72, 10, 0]"
1212,145.0,"[251, 149, 111, 70, 62, 61, 34, 10, 0]"
1213,116.0,"[270, 80, 21, 16]"
1214,230.0,"[882, 375, 203, 180, 83, 61, 27, 0]"
1215,411.0,"[882, 411, 375, 246, 196, 27, 23, 21, 0, 0]"
1216,62.0,"[902, 882, 614, 393, 375, 264, 82, 43, 29, 23, 21, 0, 0]"
1217,143.0,"[884, 378, 364, 335, 251, 212, 97, 52, 40, 16, 13, 0]"
1218,222.0,"[882, 405, 345, 189, 91, 61, 41, 21, 0, 0]"
1219,465.0,"[356, 354, 274, 235, 233, 155, 93, 72, 23, 0, 0]"
1220,807.0,"[882, 720, 357, 274, 242, 123, 40, 30, 27, 23, 16, 16, 0]"
1221,539.0,"[882, 356, 331, 241, 236, 91, 80, 70, 40, 27, 23, 18, 0]"
1222,345.0,"[882, 720, 353, 341, 274, 147, 46, 41, 40, 21, 16, 0]"
1223,470.0,"[882, 494, 354, 351, 335, 274, 241, 212, 196, 111, 89, 80, 61, 40, 21, 18, 16, 0, 0, 0]"
1224,408.0,"[884, 882, 508, 500, 486, 375, 354, 345, 236, 180, 100, 93, 82, 70, 53, 40, 21, 16]"
1225,177.0,"[882, 720, 691, 486, 357, 335, 274, 247, 212, 100, 93, 80, 61, 40, 0, 0]"
1226,412.0,"[882, 364, 353, 351, 61, 40, 16, 16]"
1227,434.0,"[882, 375, 354, 353, 310, 274, 251, 212, 80, 40, 23, 23, 16, 0, 0]"
1228,724.0,"[882, 720, 353, 337, 274, 80, 41, 40, 23, 21, 16, 0]"
1229,278.0,"[405, 337, 334, 278, 209, 67, 61, 50, 40, 23, 21]"
1230,709.0,"[405, 354, 337, 230, 91, 67, 61, 27, 0]"
1231,385.0,"[558, 388, 364, 288, 242, 213, 196, 50, 21]"
1232,170.0,"[242, 61, 57, 0]"
1233,113.0,"[882, 411, 411, 395, 312, 252, 78, 32, 19]"
1234,140.0,"[469, 405, 263, 231, 231, 110, 91, 61, 60, 57, 57, 50, 47, 43, 30, 30, 29, 0]"
1235,97.0,"[310, 270, 231, 21]"
1236,368.0,"[882, 575, 387, 362, 304, 288, 261, 93, 91, 60, 34, 0]"
1237,436.0,"[673, 562, 251, 213, 37, 0]"
1238,639.0,"[882, 720, 405, 378, 242, 160, 97, 72, 60, 27, 21, 0]"
1239,332.0,"[575, 562, 534, 449, 405, 364, 258, 180, 159, 97, 0, 0]"
1240,147.0,"[500, 405, 400, 387, 97]"
1241,170.0,"[882, 534, 411, 395, 364, 288, 228, 53, 37, 21, 0, 0, 0]"
1242,535.0,"[562, 529, 389, 338, 97, 0]"
1243,923.0,"[673, 529, 405, 364, 322, 304, 242, 97, 0]"
1244,5449.0,"[882, 857, 525, 405, 395, 364, 335, 304, 290, 288, 247, 97, 80, 61, 51, 27, 16, 0, 0]"
1245,572.0,"[691, 405, 388, 370, 97, 75, 0, 0]"
1246,5.0,"[375, 22, 0]"
1247,243.0,"[691, 654, 405, 387, 322, 263, 247, 89, 74, 47, 0, 0]"
1248,485.0,"[654, 575, 573, 562, 456, 387, 288, 247, 89, 89, 61, 0, 0]"
1249,383.0,"[654, 562, 374, 97, 89, 53, 32]"
1250,157.0,"[411, 40, 16, 0]"
1251,418.0,"[889, 692, 318, 316, 274, 111, 57, 41, 36, 16]"
1252,207.0,"[884, 584, 573, 393, 335, 40, 0]"
1253,29997918.0,"[395, 388, 110, 57, 21]"
1254,506.0,"[857, 276, 263, 173, 131, 27, 0]"
1255,2008.0,"[882, 575, 553, 494, 395, 375, 274, 247, 183, 80, 61, 40, 21, 0]"
1256,214.0,"[882, 276, 89, 71, 27, 22, 18, 0]"
1257,386.0,"[290, 282, 274, 247, 182, 123, 111, 67, 49, 41, 35, 30, 30, 0]"
1258,61.0,"[882, 692, 295, 97, 72, 60, 23, 16]"
1259,185.0,"[692, 351, 342, 251, 111, 67, 60, 36, 0]"
1260,76.0,"[692, 305, 251, 105, 83, 67, 60, 40]"
1261,84.0,"[494, 486, 274, 250, 100, 40, 18, 0]"
1262,1152.0,"[692, 318, 242, 180, 43, 40, 27]"
1263,54.0,"[405, 289, 274, 212, 204, 60, 43, 27, 18]"
1264,289.0,"[882, 692, 464, 265, 251, 189, 72, 43, 40, 23, 21]"
1265,803.0,"[882, 407]"
1266,481.0,"[882, 720, 405, 290, 288, 270, 247, 97, 61, 0]"
1267,608.0,"[882, 692, 411, 380, 350, 27, 17, 0]"
1268,118.0,"[882, 373, 97, 61, 42, 40, 27, 1, 0]"
1269,122.0,"[500, 388, 304, 150, 61, 0]"
