,calories,parsed_ingredients
88,558.0,"[405, 364, 335, 322, 288, 242, 213, 50, 46, 35, 0]"
89,301.0,"[500, 458, 405, 364, 353, 250, 187, 100, 97, 0]"
90,4524.0,"[562, 558, 405, 364, 242, 213, 152, 127, 0]"
91,438.0,"[405, 393, 388, 364, 335, 201, 66, 0]"
92,651.0,"[562, 405, 364, 299, 216, 201, 182, 57, 46, 21, 0, 0]"
93,362.0,"[567, 351, 282, 21]"
94,527.0,"[654, 525, 322, 304, 288, 247, 180, 156, 97, 61]"
95,488.0,"[720, 315, 276, 271, 264, 227, 182, 131, 100, 97, 40, 36, 16]"
96,912.0,"[720, 364, 335, 196, 122, 46, 21]"
97,5090.0,"[720, 654, 405, 395, 362, 342, 261, 247, 213, 91, 52, 47]"
98,392.0,"[562, 405, 356, 276, 236, 105, 83, 40, 35, 26, 0, 0]"
99,720.0,"[562, 297, 93, 75, 40, 16, 16]"
100,585.0,"[395, 381, 364, 299, 263, 236, 57, 0]"
101,705.0,"[720, 691, 242, 62]"
102,592.0,"[575, 458, 405, 387, 364, 335, 322, 288, 263, 258, 247, 241, 213, 0, 0]"
103,376.0,"[720, 575, 375, 67, 56, 27, 0]"
104,515.0,"[575, 558, 405, 48]"
105,226.0,"[337, 247, 199, 83, 80, 50, 48, 46, 21]"
106,441.0,"[241, 231, 152]"
107,208.0,"[575, 562, 351, 282, 247, 247, 180, 53]"
108,3610.0,"[884, 575, 405, 364, 288, 258, 256, 250, 56, 16, 0, 0]"
109,243.0,"[318, 250, 185, 60, 0]"
110,247.0,"[720, 562, 405, 364, 362, 203, 124, 97, 61, 56, 16, 0, 0]"
111,426.0,"[575, 405, 381, 288, 258, 242, 123, 91, 13]"
112,612.0,"[654, 405, 395, 381, 364, 261, 247, 201, 16, 0]"
113,228.0,"[720, 673, 405, 48]"
114,460.0,"[882, 364, 236, 50, 36, 21, 16]"
115,473.0,"[882, 562, 111, 47, 21]"
116,344.0,"[882, 362, 128, 0]"
117,199.0,"[281, 231, 83, 21, 1]"
118,1151.0,"[882, 431, 411, 323, 310, 274, 259, 149, 93, 81, 61, 40, 36, 32, 30, 23, 20]"
119,243.0,"[882, 274, 274, 186, 148, 100, 72, 66, 47, 36, 19]"
120,214.0,"[882, 276, 157, 72, 60, 47, 36, 21, 19]"
121,200.0,"[902, 345, 91, 72, 47, 41, 36, 29, 28, 23, 21, 0]"
122,223.0,"[902, 882, 157, 47, 27, 0, 0]"
123,429.0,"[882, 654, 274, 148, 93, 0]"
124,46.0,"[882, 352, 69, 25, 21]"
125,114.0,"[882, 236, 148, 100, 25, 21]"
126,655.0,"[896, 857, 673, 345, 318, 304, 149, 83, 60, 40, 34, 25, 18, 18, 0]"
127,482.0,"[902, 882, 720, 673, 364, 352, 322, 174, 149, 80, 27, 25, 21, 0, 0, 0]"
128,218.0,"[902, 617, 357, 115, 97, 72, 47, 46, 40, 25, 21, 19]"
129,162.0,"[882, 242, 57, 54, 30, 25]"
